"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","281.00"
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|FR","344.77","350.25","350.25","383.00"
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|FR","2047.48","2056.34","2120.52","1062.00"
